,index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
31,2159,USER USER USER Wajah anak lo Kliatan Bgt ya!! Penuh dendam dan kebencian! Pasti anak anak lo makan dari hasil uang haram. Bapaknya kayak lo!! Banci dan rumpi!!! Lo ngatain gue makan tai?? Nah lo dan istri serta anak anak dan ortu lo makan bangke uang haram,1,1,0,1,0,0,0,1,0
32,7774,USER USER Kalo mengaku negara demokrasi ya bubarkan KPK!!,1,0,0,1,0,0,0,0,1
33,11104,"Kita berbangga, kita bersyukur karena Pemerintah kita berhasil mengambil alih 51% divestasi saham PT. FI. Yang tidak berbangga dan tidak bersyukur adalah mafia tambang dan antek orde baru yang pululan tahun berkomplot dengan asing menguras dan merampok k",0,0,0,0,0,0,0,0,0
34,7971,USER USER USER USER USER USER USER Merawat kebangsaan dg masker CAP SARA alas anies sandi.,1,0,1,0,0,0,0,0,1
35,4078,"RT USER: Dear Bapak USER \n\nSelamat malam\nKmi acungkan jempol tuk Bpk serta jajaran Kabinet yg terus sibuk kerja,kerja dan kerja dg\xe2\x80\xa6'",0,0,0,0,0,0,0,0,0
36,6632,USER USER Emang menurut kamu team 1 gak pake usaha? di produce semua orang mulai dari 0 sampe akhirnya bisa ke titik tertinggi disana. Team 2 emang bisa perform lancar tanpa cacat tp diliat darimanapun team 1 lebih bagus dan pantes buat men,0,0,0,0,0,0,0,0,0
37,8710,"USER Tapitapi sha, kayaknya geng rp atau apalah itu circle luar mungkin banyak yg delulu gini apa ya. Ini temenku gibah soal anak ipro yg katanya gini katanya gitu tapi rerata percaya aja karena infonya dari fans cina langsung....'",0,0,0,0,0,0,0,0,0
38,9275,Lepastu expect boleh lepas tangan semua kerja yg lecturer bagi apelancau sial cina ni',1,1,1,0,0,1,0,0,0
39,3673,Ada Kesamaan dalam diri Mantan Presiden Sukarno dan Calon Presiden Rizal Ramli,0,0,0,0,0,0,0,0,0
40,1815,"USER Wah.. Bangkai kapal kog bisa mengganggu ekosistim dan menjadi sampah utk biota laut, ikan... Ilmu baru ya...'",0,0,0,0,0,0,0,0,0
41,3242,"online cuma dapet pajak dr incm persh online nye,yg dapet income nha hny dr iklan,iuran premium beberapa produk,lost tax brp dibanding usaha di mall, nyerap ten kerja,online apa yg diserap? bloon jgn dipelihara wi, USER USER USER @",1,1,1,0,0,0,0,0,1
42,11050,Prabowo: Mau Bantu Rohingya? RI Harus Disegani URL URL,1,0,1,0,0,0,0,0,1
43,4023,USER USER kaget anjir mentab penuh kirain apa',0,1,0,0,0,0,0,0,0
44,11930,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER NGOMONG,0,0,0,0,0,0,0,0,0
45,6179,ia betul itu...sudah lah jokowi mundur aja demi NKRI jgn ngotot karana kelompok mu URL,1,0,1,0,0,0,0,0,1
46,10462,"USER Gak Perduli ; Reply-ku nyambung apa enggak, ; yg penting ; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden; #201",1,0,1,0,0,0,0,0,1
47,11541,"USER USER BABI KAU INI YHA\nMUNGKIN LAHIR DARI BANI BABI KAU INI ,\nANJING LAH KAU INI ,\n\nKau Ngomong Mentei selangkangan\nTapi MAJIKAN KAU BINI NYE SELINGKUH 7 Tahun \nItu Yg cocok Mentri selangkangan\n7 tahun Coy ,\n\nHRS kau Tuduh begitu",1,1,1,0,0,0,0,0,1
48,6805,"\xe2\x80\x9cDaripada suapan terakhir makanan selezat apapun atau diejek gendut, aku lebih tidak bisa memaafkanmu kalau kau menghina sahabatku !!!!!\xe2\x80\x9d (Chouji Akimichi)'",0,0,0,0,0,0,0,0,0
49,4970,Emang bangsat polisi sekarang ! Udah lengserkan jokowi lagi satu satu nya cara !,1,1,0,1,0,0,0,0,1
50,3677,"USER saya suka kalimat seperti ini ustadz,halus tp menghujam ke sanubari ?; #2019GantiPresiden",1,0,1,0,0,0,0,0,1
51,1740,USER Boleh deh nangkring asal jangan nangkring di pohon ya nanti susah bedain kamu sama kunti',0,0,0,0,0,0,0,0,0
52,3820,"Mau dikatain anjing ya?:"" URL",1,1,1,0,0,0,0,0,1
53,736,Gubernur yang patuh lapor LHKPN #GanjarYasin1 #KamiGanjarYasin,0,0,0,0,0,0,0,0,0
54,11846,"Di Maroko, Anies Dipanggil â??Super Gubernurâ??",0,0,0,0,0,0,0,0,0
55,11324,Lalu setelah googling aku mengetahui fakta bahwa pake wig buat perempuan yahudi yg sudah menikah sama halnya dengan muslimah yg pakai hijab untuk menutup aurat',0,0,0,0,0,0,0,0,0
56,8429,"memerhati cara chef Barat menilai salah ttg ayam rendang, aku terfikir jika mereka juga telah tersalah menilai seni catan, sastera, filem dan hasil seni budaya lain sebelah sini dari kaca mata dan cita rasa mereka.",0,0,0,0,0,0,0,0,0
57,8421,USER Lahhh coba gubernur kafir pasti pada teriak nihh demo hahaha.',1,0,1,0,1,0,0,0,0
58,5089,RT USER: https:// #ngentoto #mememk #lonte #lempung #kontol #crottt #jembut # pecuh URL,0,1,0,0,0,0,0,0,0
59,10532,USER Cebong itu is kepalanya = isi perutmya prof.',1,1,0,1,0,0,0,0,1
60,9687,USER Antek aseng komunis kapitalis,1,0,1,0,0,1,0,0,0
61,11101,USER USER USER lah kamu umat apa ..umat iblis...intinya adalah ada ribuan orang dirugikan oleh bajingan sialan kok ya masih ada yg bela..gitu aja.',1,1,0,1,0,0,0,0,1
62,2740,Dubes Kwang Il Bertekad Kembangkan Pertukaran Budaya Korea-RI #KlikRMOL #korut,0,0,0,0,0,0,0,0,0
63,4005,"org yg dlm jail nak jadi islam. solat semua. kita yang islam ni. bila plk? kita dah tentu islam. angkat ganja, tak solat, badan tattoo, minum, gi club. tunggu masuk prison baru nak ubah ke??",0,0,0,0,0,0,0,0,0
64,6480,USER Ini cara SM buat ngidupin group meski membernya wamil nanti. Karena ada member asing juga. Jd masih bs terus promo.',0,0,0,0,0,0,0,0,0
65,2698,"bocah pada ngajak nongton galapremiere, ane tanye pelmnye ape? 'Pengabdi Setan' kate doi pade~\n\nane kire dikibulin; egataunye beneran dong brengsek! :)) URL",0,1,0,0,0,0,0,0,0
66,8201,"USER Jaman dahulu, dalam budaya Jawa yg kental Hindu Buddha, yg terpenting hidup tentrem. Jaman sekarang setelah Revolusi Industri 'yg terpenting hidup tentrem' jadi dipandang tidak ada artinya bila tidak naik Mercedez. Jadi life goal ideal a",0,0,0,0,0,0,0,0,0
67,10277,"8.Di satu sisi, rata \xe2\x80\x93 rata petani hanya miliki kurang dari 2 Ha tanah. Bagaimana bisa produktif? Sementara korporasi tuan tanah terus mengakuisi ribuan hektar #tanah dan terus difasilitasi oleh rejim|#keadilantanah'",0,0,0,0,0,0,0,0,0
68,5613,Tidak ada solusi lain selain #2019GantiPresiden,1,0,1,0,0,0,0,0,1
69,9054,Henry pernah tampil di konser amal untuk masyarakat Cina',0,0,0,0,0,0,0,0,0
70,3243,USER USER USER Pasti bani kampret yang menyamar \xf0\x9f\x98\x92\n\nLemparin minyak babi...',1,1,0,1,0,0,0,0,1
71,2529,USER USER Jangan sebarkan demi keamanan sejagat,0,0,0,0,0,0,0,0,0
72,8410,USER Ayo lah mas. Udab becek nih memek.',0,1,0,0,0,0,0,0,0
73,6986,RT USER Sentul kan kawasannya prabowo... abis jatahan ya... asyik..,1,0,1,0,0,0,0,0,1
74,8677,USER USER kok aing lagi sih.. kampang kalyaaann.....',1,1,0,1,0,0,0,0,1
75,445,USER USER USER Yang juara ngibul kan junjungan kalian wahai bani kampret 212',1,1,0,1,0,0,0,0,1
76,10505,"Kalian datang, obrak-abrik, pastiin udah berantakan, trus pergi.\n\nKan, mereka bajingan, ya. :)'",1,1,0,1,0,0,0,0,1
77,7364,USER otw di bom korut u',0,0,0,0,0,0,0,0,0
78,4928,"Giat Bhabinkamtibmas Brigpol Mbs Sihombing pd hari ini, Rabu 11 April 2018 melaks sambang desa dan tatap muka sekaligus monitoring Kamtibmas menuju Pilkada 2018 di Desa Lobusiregar I, tepatnya dirumah Rudi Panjaitan, Helman Siahaan dan Hotman Siahaan",0,0,0,0,0,0,0,0,0
79,237,Ga bakalan bro,0,0,0,0,0,0,0,0,0
80,1925,USER USER Sekarang kita liat itu para pendukung ahok engga semua kafir dn juga yg mendukung anies engga semua muslim jadi untuk ap setiap orang yg berbeda haluan selalu dikatain kafir ap mereka yg satu haluan itu paling suci',0,0,0,0,0,0,0,0,0
81,759,USER yang sampe Januari 1998 masih bilang Anti-Suharto gerakan Komunis yah?',0,0,0,0,0,0,0,0,0
82,4854,USER USER Menteri sih cuma berapa orang.. Mereka juga lebih kerja ketimbang yang di Senayan. Mending yg banyak Noh DPR yg kerjaannya cuma rapat sambil molor di ruang AC.',1,0,0,1,0,0,0,0,1
83,5528,Wasit picek.',1,1,1,0,0,0,1,0,0
84,9369,USER USER Aparat yg keparat',1,1,1,0,0,0,0,0,1
85,3749,"sebelum memulai, lebih baik kita baca surat yasin 3x dan membaca alfatihah agar dijauhkan dari among yang terkutuk. bismillah.'",0,0,0,0,0,0,0,0,0
86,10616,USER Bejat bener bgst yang nyulik. Itu yang ngelakuin bukan manusia. Iblis kali. Hhhhh emosi gua anjer.',1,1,1,0,0,0,0,0,1
87,3482,Tragedi 98 ternyata juga salahbsatu upaya komunis oleh prabowo,1,0,1,0,0,1,0,0,0
88,423,"BOT mau nanya. 'ich liebe dich' artinya apa? Yg jawab ntar BOT kasih aipet yg barusan nyemplung di jamban kuda (\xe2\x80\xa2\xcc\xaf\xcd\xa1_\xe2\x80\xa2\xcc\xaf\xcd\xa1 )""",0,1,0,0,0,0,0,0,0
89,5239,Jgn pernah memilih pemimpin penuh kecurangan seperti ini; #BalikinKeSolo; #BalikinKeSolo,1,0,1,0,0,0,0,0,1
90,5476,Ayo secepatnya kita revolusi lengserkan jokowi sblm negeri ini di azab Alloh SWT krn semua penegak hukum & presidennya sdh diluar batas,1,0,1,0,0,0,0,0,1
91,12518,USER Jambu bol mungkin bisa diperhalus dgn jambu bokong (?)',0,1,0,0,0,0,0,0,0
92,6012,PKI akan bangkit,1,0,0,1,0,1,0,0,0
93,11814,"Yaelah malah di terobos lampu merah | kalem bro, itu polisi di belakang kita aja nerobos | ITU NGEJAR KITA DONGO!!'",1,1,1,0,0,0,0,0,1
94,442,USER tapi kenapa kamu malah cari musuh! dasar peranakan cebong kampret!',1,1,1,0,0,0,0,0,1
95,11458,"tidak dicintaimu adalah sesuatu yang baru, yang membuatku merasa asing diantara segala hati yang membuka pintunya padaku'",0,0,0,0,0,0,0,0,0
96,1002,"Seriuus neh berita ??? Polisi mau ikutan politik... Kok braninya ama tukang becak... Emang dia doang yg pakek... Dah mulai ketakutan yaa.. ""power syndrome melanda istana"" vs tukang becak. USER USER USER USER USER",1,0,0,1,0,0,0,0,1
97,1331,USER USER USER Biarin lbh bagus cungkring drpd gendut bisa autis\xf0\x9f\xa4\xa3\xf0\x9f\x98\x81\xe2\x9c\x8c\n#prabowo2periode',0,1,0,0,0,0,0,0,0
98,2386,KERJA TULUS DIKTATOR JOKOWI TUKANG MUNGKIR JANJI YANG MELUDAHI MAYAT KORBAN GENOSIDA THN 1965-1966 DAN PEMBATAIAN LAINNYA,1,0,1,0,0,0,0,0,1
99,8034,Telkomsel kacrut lagi neh? Dah 20menit wa gak bisa ngapa-ngapain. Bahkan telepon aja nggak bisa. Fakuy.',1,1,0,1,0,0,0,0,1
100,10878,USER Sumpah ga lucu bgt jadiin autis bahan bercandaan',0,0,0,0,0,0,0,0,0
101,6692,USER Bisa...tapi harus siap dikatain kafir komunis antek asing dsb...',0,0,0,0,0,0,0,0,0
102,12286,USER USER USER USER USER USER cebong dongok...dah kalah malah gila :))',1,1,0,1,0,0,1,0,0
103,7645,USER USER Najis gua liatnya',0,1,0,0,0,0,0,0,0
104,5427,Calon Wakil Gubernur SUMATERA UTARA diperiksa KPK Di Mangko Brimob terkait suap APBD.; ; MAJU TERUS KPK; #HIDUP_KPK,0,0,0,0,0,0,0,0,0
105,2750,USER USER Namanya PRRI susah. Gampang PKI,1,0,0,1,0,1,0,0,0
106,1712,"Bioskop, Transisi Ekonomi Ala Arab Saudi",0,0,0,0,0,0,0,0,0
107,3722,USER USER USER USER USER USER USER USER Yg gubernur lama kebanyakan direcokin di demo demo orang Bodoh yg pake surban!!!!lah gubernur yg sekarang 8 bulan ngapain aja????cuma ongkang2 di kantor ka,1,1,1,0,0,0,0,0,1
108,2227,Warbiasak presiden USER ð???ð???,0,0,0,0,0,0,0,0,0
109,11816,"Indonesia ngapa makin jadi ya. yang tolol, yang bencong lah malah di up..... Udah gak nonton tv masa gak buka sosmed juga gue??!!'",0,1,0,0,0,0,0,0,0
110,2935,Kerajaan Negeri Pahang memang tak peduli pasal heritage semua ini. Sungai Lembing itu punya lah kaya dengan sejarah dan budaya pun tak ada usaha nak pulihara.,0,0,0,0,0,0,0,0,0
111,9230,apa harus di demo berjilid-jliid baru polisi mau meriksa si buSuk ini,1,1,1,0,0,0,0,0,1
112,11936,"RT USER: Sebenarnya bukan lelaki tu, tapi monyet tu yg ajak lelaki tu wefie \xf0\x9f\x98\x82 tengok tangan dia \xf0\x9f\x98\x81 URL",1,1,1,0,0,0,0,0,1
113,9559,Polisi lg selidiki asma terkait ga ama si anies sandi. Klo terkait jd rame nih. Gubernur hasil menyebar kebencian! URL,1,0,1,0,0,0,0,0,1
114,2991,USER Cacat anjir',0,1,0,0,0,0,0,0,0
115,10993,Kebijakan pemerintah yang memikirkan umat Islam menjadi indikator kembali terpilihnya Presiden Jokowi sebagai salah satu muslim berperngaruh di dunia lantaran diterima di kalangan muslim dengan baik. ; #TokohMuslimBerpengaruh #TheMuslim500;,0,0,0,0,0,0,0,0,0
116,1957,"\xe2\x9c\xbe \xe3\x80\x95Nama Lengkap: Jung Hyemi.\n\n\xe2\x9c\xbe \xe3\x80\x95Nama Panggilan: Hyemi.\n\n\xe2\x9c\xbe \xe3\x80\x95Tempat, Tanggal Lahir: Busan, 3 Januari 1995.\n\n\xe2\x9c\xbe \xe3\x80\x95Golongan Darah: A.\n\n\xe2\x9c\xbe \xe3\x80\x95Aga",0,0,0,0,0,0,0,0,0
117,12019,"Selain itu, Kalla Group juga membawahi Sekolah Islam Athirah dan Yayasan Kalla.",0,0,0,0,0,0,0,0,0
118,8683,"Jokowi Restui WNA Duduki Jabatan Direksi BUMN, Rizal Ramli: Ampun Deh!",0,0,0,0,0,0,0,0,0
119,11771,USER HEH JIJIK GUE LANGSUNG UNFRIEND LO SELAMANYA BARU TAU RASA',1,1,1,0,0,0,0,0,1
120,2861,"apa ce berkacamata itu identik dengan kata ""culun""?'",0,0,0,0,0,0,0,0,0
121,5098,"ð??? kylaaaaaaya Instagram Update; ; ð???Fakultas Ilmu Budaya, Universitas Indonesia; ; êµ¿ëª¨ë??ð???",0,0,0,0,0,0,0,0,0
122,1867,"USER USER USER Lo yang bego, baca tu ""SALAH SATU"" , makanya baca dulu biar gak Dungu Bong'",1,1,1,0,0,0,0,0,1
123,7442,lagu Ari lasso silit memang',1,1,1,0,0,0,0,0,1
124,12248,USER Bubarkan aja kpk pilih kasih yg besar malah lolos,1,0,0,1,0,0,0,0,1
125,2497,"Gubernur Indonesia kita ini , Pa USER memang Woooow..! Salah satu Putra Terbaik Bangsa Indonesia Pribumi yg memang layak memimpin Negeri ini.; Semoga Allah SWT melindungi, meluruskan perjuangan demi tegakan Islam, memajukan bangsa &amp; Negara.",0,0,0,0,0,0,0,0,0
126,9752,USER USER iye.. hakim garis tapi \xf0\x9f\x98\x84.. apa yg mau ditabayunin dari beliau atau yg setipe dgnya. ilmuku gak cuma Nol. minus malah.. cuma berharap Islam ini gak diganggu aja. umatnya gak diadu domba. pengen punya pemimpin beres kaga,0,0,0,0,0,0,0,0,0
127,3063,Masjid dipasang spanduk #2019GantiPresiden mereka marah.; ; Tapi masjid dipakai ceramah politik oleh Hari Tanoe yang non-Muslim mereka dukung.,1,0,0,1,1,0,0,0,0
128,1559,Presiden yang anda tuduh Rezim anti Islam sudah banyak berbuat untuk Negeri ini sudah bnyak berbuat untuk umat... URL,1,0,1,0,0,0,0,0,1
129,12036,RT USER: USER Ga bosen apa ngatain gila?',0,0,0,0,0,0,0,0,0
130,6433,"USER saya jd tau apa itu fiksi berkat penjelasan pak rocky tp saya kurang sreg kitab suci di katakan fiksi khususnya untuk kitab suci al qur'an,jd ingin tau pandangn para ulama ttng apa yg di katakan pak rocky ini.â?º",0,0,0,0,0,0,0,0,0
131,6732,USER USER Memahami hadits jgn sepotong2 ntar mulutnya bau pesing \xf0\x9f\x98\x82. Pelajari awal mula kenapa itu ada hadits Air Kencing Onta \xf0\x9f\x98\x81',1,1,1,0,1,0,0,0,0
132,5675,"USER Mahasiswa zaman old bersusah payah menurunkan rezim soeharto, sedangkan mahasiswa zaman now berusaha paid promote tiap saat \n\xf0\x9f\x98\xb3\xf0\x9f\x98\x91'",0,0,0,0,0,0,0,0,0
133,7155,"USER Tanpa disadari oleh kita,berarti kita sdh dikelilingi tka ya. Kalau diam2 mrka menyerang kita gimana krna kita kan lemah gak mau melawan,pekerjaan kita di ambil mrkapun kita diam'",0,0,0,0,0,0,0,0,0
134,10884,"Emang kalo mau PACARAN harus punya PACAR dulu ya? Terus, kalo kita mau SARAPAN harus jadi SARAP dulu, gitu? #galau'",0,1,0,0,0,0,0,0,0
135,12322,"6. USER maksa banget pingin jadi Presiden padahal MAS paling Cuma bisa jadi maling uang rakyat.&amp; gaya pilitiknya selalu pakai ayat, mayat dan agama. Demi ambisi!! Orang seperti ini otaknya normal apa gk ya? #MardaniKelimpungan",1,1,1,0,0,0,0,0,1
136,2312,"15. Terimakasih, selamat jalan, Ila jiwari robbihimul A`la jalla wa `alaa, Ra lilur sering mengingatkan kita bahwa ulama jika sudah cinta dunia, bahaya, bahaya, dawuh beliau, dawuh2 yg kadang memberi kita pelajaran sangat berharga, lahul fatihah... ð??¥ð??¥ð??¥",0,0,0,0,0,0,0,0,0
137,3570,"USER USER USER USER USER ooh cuma"" gara"" beda pendapat langsung di pecat ya, kalau gtu rejim skarang anti kritik dong ,tdk mau ada masukan dari luar parlemen'",0,0,0,0,0,0,0,0,0
138,12212,Diharapkan pembahasan dalam Konsultasi Tingkat Tinggi Ulama dan Cendekiawan Muslim ini bisa mengerucutkan konsep watasiyat Islam menjadi sebuah kriteria untuk peradaban utama Islam.; #KTTUlama2018 #KTTIslamWasatiyyah #indonesiabisa #indonesiabertoleransi ;,0,0,0,0,0,0,0,0,0
139,2449,USER Harga yahudi \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',0,0,0,0,0,0,0,0,0
140,4818,USER Dungu idiot permanen',1,1,1,0,0,0,1,0,0
141,3936,"RT USER Apalagi kekayaan SBY, hasil korupsi semua",1,0,1,0,0,0,0,0,1
142,5090,Indonesia dalam cerita; ada anggota DPR yang nunggak bayar listrik.; ada Anggota DPR yg jualan kaos.; Ada anggota DPR yg ingin ganti presiden dg kaos.; ; yg lebih parah lagi Rakyat yg Goblog ingin ganti presidenya dg tagar doang.; sangat lucu dan pantas di,1,1,0,1,0,0,0,0,1
143,147,Memek lonte pengen disodok kontol gede',0,1,0,0,0,0,0,0,0
144,3860,USER apa? vin? gimana gimana? mata gue budek gabisa baca',0,0,0,0,0,0,0,0,0
145,1153,USER saat dipimpin USER jg menjadi pendorong kuat bagi UMP layak &amp; program #BPJS . Era penuh perubahan di kalangan buruh baik migran maupun lokal URL #JokowiCakImin #JokowiMajukanEkonomiUmat #JOIN2019 #JOINJombang #,0,0,0,0,0,0,0,0,0
146,10469,"USER USER Nape ente semakin jauh bud? Apa lidahmu sdh sangat tebal sampai menjilat spt itu?\n\nBELUM TERJADI, BARU AKAN dan itupun dibantu oleh 4 bank asing.\n\nKeluar mulut buaya masuk mulut singa.'",1,0,1,0,0,0,0,0,1
147,10444,"Kemarin-kemarin kembali denger kata ""sontoloyo""'",0,0,0,0,0,0,0,0,0
148,2106,USER USER USER USER Maksud gua ngatain USER yg goblo!!! pak jokowi selama ini bayar utang SBY jadi utang itu yg bayar pasti presiden berikutnya.,1,1,1,0,0,0,0,0,1
149,4394,"Ritual Buka Bumi,budaya yg dilakukan oleh masy Polman untuk menyepakati langkah-langkah dan menentukan jadwal turun sawah musim tanam gadu tahun 2018 serta mensyukuri akan hasil panen yang di peroleh #KawalPetani USER",0,0,0,0,0,0,0,0,0
150,503,USER Ha ha kocak ...kalabong emang dungu',1,1,1,0,0,0,0,0,1
151,332,"Menurut Wibisono, pencitraan Jokowi telah disebarkan up media massa pro asing, sehingga terkesan Jokowi berhasil.",1,0,1,0,0,0,0,0,1
152,10977,USER wendy kunyuk bukan wandy. emang saya lalaki apa TAT',0,1,0,0,0,0,0,0,0
153,4363,Pemerintah memang ingin gerak cepat dalam pemberantasan terorisme. Apalagi belum lama ini di sejumlah tempat terjadi aksi bom bunuh diri yang menimbulkan kerusakan dan korban jiwa tak sedikit.',0,0,0,0,0,0,0,0,0
154,3198,"Mendengar jawaban itu,Ibnul mubarak dalam dianya selalu memohon demikian,"" Ya Allah, tunjukilah ia dalam islam."" Dan beberapa saat kemudian ,si Yahudi itupun, dengan izin Allah,akhirnya masuk islam.'",0,0,0,0,0,0,0,0,0
